Node_ID,Original_Class_ID,Original_Class_Name,Meta_Class,Meta_Class_Binary,Degree
40,3,Neural_Networks,C2_Practical_Applied,1,3
41,6,Probabilistic_Methods,C2_Practical_Applied,1,4
42,6,Probabilistic_Methods,C2_Practical_Applied,1,2
43,4,Case_Based,C1_Logic_Theory,0,6
44,3,Neural_Networks,C2_Practical_Applied,1,3
45,3,Neural_Networks,C2_Practical_Applied,1,6
46,2,Rule_Learning,C1_Logic_Theory,0,2
47,5,Genetic_Algorithms,C2_Practical_Applied,1,2
48,3,Neural_Networks,C2_Practical_Applied,1,9
49,4,Case_Based,C1_Logic_Theory,0,2
50,5,Genetic_Algorithms,C2_Practical_Applied,1,1
51,3,Neural_Networks,C2_Practical_Applied,1,6
52,0,Theory,C1_Logic_Theory,0,5
53,2,Rule_Learning,C1_Logic_Theory,0,3
54,1,Reinforcement_Learning,C2_Practical_Applied,1,2
55,4,Case_Based,C1_Logic_Theory,0,12
56,6,Probabilistic_Methods,C2_Practical_Applied,1,4
57,3,Neural_Networks,C2_Practical_Applied,1,1
58,2,Rule_Learning,C1_Logic_Theory,0,1
59,2,Rule_Learning,C1_Logic_Theory,0,10
60,0,Theory,C1_Logic_Theory,0,3
61,0,Theory,C1_Logic_Theory,0,5
62,0,Theory,C1_Logic_Theory,0,1
63,4,Case_Based,C1_Logic_Theory,0,1
64,2,Rule_Learning,C1_Logic_Theory,0,3
65,0,Theory,C1_Logic_Theory,0,10
66,4,Case_Based,C1_Logic_Theory,0,1
67,5,Genetic_Algorithms,C2_Practical_Applied,1,3
68,2,Rule_Learning,C1_Logic_Theory,0,3
69,6,Probabilistic_Methods,C2_Practical_Applied,1,7
70,5,Genetic_Algorithms,C2_Practical_Applied,1,2
71,2,Rule_Learning,C1_Logic_Theory,0,3
72,2,Rule_Learning,C1_Logic_Theory,0,2
73,2,Rule_Learning,C1_Logic_Theory,0,12
74,0,Theory,C1_Logic_Theory,0,9
75,4,Case_Based,C1_Logic_Theory,0,6
76,5,Genetic_Algorithms,C2_Practical_Applied,1,3
77,6,Probabilistic_Methods,C2_Practical_Applied,1,2
78,4,Case_Based,C1_Logic_Theory,0,3
79,0,Theory,C1_Logic_Theory,0,2
80,0,Theory,C1_Logic_Theory,0,3
81,0,Theory,C1_Logic_Theory,0,4
82,4,Case_Based,C1_Logic_Theory,0,2
83,2,Rule_Learning,C1_Logic_Theory,0,2
84,4,Case_Based,C1_Logic_Theory,0,5
85,1,Reinforcement_Learning,C2_Practical_Applied,1,3
86,4,Case_Based,C1_Logic_Theory,0,4
87,6,Probabilistic_Methods,C2_Practical_Applied,1,3
88,0,Theory,C1_Logic_Theory,0,36
89,4,Case_Based,C1_Logic_Theory,0,10
90,2,Rule_Learning,C1_Logic_Theory,0,4
91,4,Case_Based,C1_Logic_Theory,0,6
92,6,Probabilistic_Methods,C2_Practical_Applied,1,2
93,6,Probabilistic_Methods,C2_Practical_Applied,1,4
94,0,Theory,C1_Logic_Theory,0,11
95,0,Theory,C1_Logic_Theory,0,21
96,6,Probabilistic_Methods,C2_Practical_Applied,1,1
97,5,Genetic_Algorithms,C2_Practical_Applied,1,2
98,0,Theory,C1_Logic_Theory,0,1
99,6,Probabilistic_Methods,C2_Practical_Applied,1,6
100,0,Theory,C1_Logic_Theory,0,2
101,2,Rule_Learning,C1_Logic_Theory,0,3
102,1,Reinforcement_Learning,C2_Practical_Applied,1,8
103,1,Reinforcement_Learning,C2_Practical_Applied,1,6
104,1,Reinforcement_Learning,C2_Practical_Applied,1,4
105,2,Rule_Learning,C1_Logic_Theory,0,4
106,6,Probabilistic_Methods,C2_Practical_Applied,1,1
107,5,Genetic_Algorithms,C2_Practical_Applied,1,4
108,6,Probabilistic_Methods,C2_Practical_Applied,1,3
109,1,Reinforcement_Learning,C2_Practical_Applied,1,32
110,2,Rule_Learning,C1_Logic_Theory,0,5
111,2,Rule_Learning,C1_Logic_Theory,0,6
112,1,Reinforcement_Learning,C2_Practical_Applied,1,4
113,5,Genetic_Algorithms,C2_Practical_Applied,1,3
114,5,Genetic_Algorithms,C2_Practical_Applied,1,3
115,5,Genetic_Algorithms,C2_Practical_Applied,1,1
116,6,Probabilistic_Methods,C2_Practical_Applied,1,2
117,5,Genetic_Algorithms,C2_Practical_Applied,1,2
118,6,Probabilistic_Methods,C2_Practical_Applied,1,19
119,5,Genetic_Algorithms,C2_Practical_Applied,1,6
120,5,Genetic_Algorithms,C2_Practical_Applied,1,5
121,1,Reinforcement_Learning,C2_Practical_Applied,1,7
122,6,Probabilistic_Methods,C2_Practical_Applied,1,4
123,6,Probabilistic_Methods,C2_Practical_Applied,1,4
124,1,Reinforcement_Learning,C2_Practical_Applied,1,5
125,5,Genetic_Algorithms,C2_Practical_Applied,1,2
126,1,Reinforcement_Learning,C2_Practical_Applied,1,6
127,6,Probabilistic_Methods,C2_Practical_Applied,1,1
128,5,Genetic_Algorithms,C2_Practical_Applied,1,4
129,5,Genetic_Algorithms,C2_Practical_Applied,1,2
130,5,Genetic_Algorithms,C2_Practical_Applied,1,3
131,1,Reinforcement_Learning,C2_Practical_Applied,1,2
132,5,Genetic_Algorithms,C2_Practical_Applied,1,5
133,1,Reinforcement_Learning,C2_Practical_Applied,1,9
134,1,Reinforcement_Learning,C2_Practical_Applied,1,1
135,1,Reinforcement_Learning,C2_Practical_Applied,1,3
136,1,Reinforcement_Learning,C2_Practical_Applied,1,1
137,1,Reinforcement_Learning,C2_Practical_Applied,1,4
138,1,Reinforcement_Learning,C2_Practical_Applied,1,3
139,1,Reinforcement_Learning,C2_Practical_Applied,1,8
140,4,Case_Based,C1_Logic_Theory,0,2
141,3,Neural_Networks,C2_Practical_Applied,1,3
142,0,Theory,C1_Logic_Theory,0,5
143,3,Neural_Networks,C2_Practical_Applied,1,3
144,6,Probabilistic_Methods,C2_Practical_Applied,1,4
145,6,Probabilistic_Methods,C2_Practical_Applied,1,6
146,0,Theory,C1_Logic_Theory,0,5
147,3,Neural_Networks,C2_Practical_Applied,1,2
148,4,Case_Based,C1_Logic_Theory,0,5
149,0,Theory,C1_Logic_Theory,0,4
150,3,Neural_Networks,C2_Practical_Applied,1,3
151,4,Case_Based,C1_Logic_Theory,0,4
152,4,Case_Based,C1_Logic_Theory,0,4
153,1,Reinforcement_Learning,C2_Practical_Applied,1,6
154,2,Rule_Learning,C1_Logic_Theory,0,12
155,2,Rule_Learning,C1_Logic_Theory,0,7
156,2,Rule_Learning,C1_Logic_Theory,0,6
157,3,Neural_Networks,C2_Practical_Applied,1,4
158,3,Neural_Networks,C2_Practical_Applied,1,4
159,3,Neural_Networks,C2_Practical_Applied,1,2
160,3,Neural_Networks,C2_Practical_Applied,1,7
161,0,Theory,C1_Logic_Theory,0,2
162,4,Case_Based,C1_Logic_Theory,0,5
163,5,Genetic_Algorithms,C2_Practical_Applied,1,1
164,0,Theory,C1_Logic_Theory,0,2
165,3,Neural_Networks,C2_Practical_Applied,1,4
166,4,Case_Based,C1_Logic_Theory,0,2
167,3,Neural_Networks,C2_Practical_Applied,1,4
168,3,Neural_Networks,C2_Practical_Applied,1,3
169,3,Neural_Networks,C2_Practical_Applied,1,2
170,2,Rule_Learning,C1_Logic_Theory,0,2
171,3,Neural_Networks,C2_Practical_Applied,1,3
172,3,Neural_Networks,C2_Practical_Applied,1,5
173,2,Rule_Learning,C1_Logic_Theory,0,4
174,2,Rule_Learning,C1_Logic_Theory,0,4
175,6,Probabilistic_Methods,C2_Practical_Applied,1,7
176,1,Reinforcement_Learning,C2_Practical_Applied,1,3
177,4,Case_Based,C1_Logic_Theory,0,4
178,3,Neural_Networks,C2_Practical_Applied,1,1
179,3,Neural_Networks,C2_Practical_Applied,1,3
180,3,Neural_Networks,C2_Practical_Applied,1,10
181,6,Probabilistic_Methods,C2_Practical_Applied,1,4
182,3,Neural_Networks,C2_Practical_Applied,1,2
183,3,Neural_Networks,C2_Practical_Applied,1,3
184,3,Neural_Networks,C2_Practical_Applied,1,1
185,3,Neural_Networks,C2_Practical_Applied,1,2
186,0,Theory,C1_Logic_Theory,0,6
187,4,Case_Based,C1_Logic_Theory,0,1
188,2,Rule_Learning,C1_Logic_Theory,0,2
189,2,Rule_Learning,C1_Logic_Theory,0,4
190,6,Probabilistic_Methods,C2_Practical_Applied,1,2
191,5,Genetic_Algorithms,C2_Practical_Applied,1,6
192,3,Neural_Networks,C2_Practical_Applied,1,1
193,5,Genetic_Algorithms,C2_Practical_Applied,1,2
194,4,Case_Based,C1_Logic_Theory,0,5
195,0,Theory,C1_Logic_Theory,0,2
196,4,Case_Based,C1_Logic_Theory,0,3
197,3,Neural_Networks,C2_Practical_Applied,1,3
198,4,Case_Based,C1_Logic_Theory,0,1
199,4,Case_Based,C1_Logic_Theory,0,2
200,3,Neural_Networks,C2_Practical_Applied,1,2
201,3,Neural_Networks,C2_Practical_Applied,1,7
202,2,Rule_Learning,C1_Logic_Theory,0,4
203,4,Case_Based,C1_Logic_Theory,0,5
204,0,Theory,C1_Logic_Theory,0,1
205,3,Neural_Networks,C2_Practical_Applied,1,2
206,2,Rule_Learning,C1_Logic_Theory,0,2
207,3,Neural_Networks,C2_Practical_Applied,1,1
208,3,Neural_Networks,C2_Practical_Applied,1,1
209,4,Case_Based,C1_Logic_Theory,0,1
210,4,Case_Based,C1_Logic_Theory,0,10
211,0,Theory,C1_Logic_Theory,0,5
212,3,Neural_Networks,C2_Practical_Applied,1,1
213,6,Probabilistic_Methods,C2_Practical_Applied,1,4
214,0,Theory,C1_Logic_Theory,0,1
215,3,Neural_Networks,C2_Practical_Applied,1,3
216,3,Neural_Networks,C2_Practical_Applied,1,2
217,4,Case_Based,C1_Logic_Theory,0,3
218,3,Neural_Networks,C2_Practical_Applied,1,11
219,3,Neural_Networks,C2_Practical_Applied,1,3
220,5,Genetic_Algorithms,C2_Practical_Applied,1,3
221,2,Rule_Learning,C1_Logic_Theory,0,1
222,3,Neural_Networks,C2_Practical_Applied,1,1
223,2,Rule_Learning,C1_Logic_Theory,0,3
224,4,Case_Based,C1_Logic_Theory,0,2
225,1,Reinforcement_Learning,C2_Practical_Applied,1,1
226,3,Neural_Networks,C2_Practical_Applied,1,1
227,2,Rule_Learning,C1_Logic_Theory,0,2
228,2,Rule_Learning,C1_Logic_Theory,0,5
229,3,Neural_Networks,C2_Practical_Applied,1,4
230,3,Neural_Networks,C2_Practical_Applied,1,5
231,3,Neural_Networks,C2_Practical_Applied,1,9
232,3,Neural_Networks,C2_Practical_Applied,1,5
233,5,Genetic_Algorithms,C2_Practical_Applied,1,1
234,1,Reinforcement_Learning,C2_Practical_Applied,1,2
235,3,Neural_Networks,C2_Practical_Applied,1,1
236,1,Reinforcement_Learning,C2_Practical_Applied,1,11
237,3,Neural_Networks,C2_Practical_Applied,1,1
238,5,Genetic_Algorithms,C2_Practical_Applied,1,1
239,0,Theory,C1_Logic_Theory,0,13
240,3,Neural_Networks,C2_Practical_Applied,1,5
241,5,Genetic_Algorithms,C2_Practical_Applied,1,1
242,0,Theory,C1_Logic_Theory,0,4
243,4,Case_Based,C1_Logic_Theory,0,5
244,2,Rule_Learning,C1_Logic_Theory,0,4
245,4,Case_Based,C1_Logic_Theory,0,2
246,2,Rule_Learning,C1_Logic_Theory,0,4
247,4,Case_Based,C1_Logic_Theory,0,1
248,4,Case_Based,C1_Logic_Theory,0,3
249,5,Genetic_Algorithms,C2_Practical_Applied,1,3
250,4,Case_Based,C1_Logic_Theory,0,1
251,3,Neural_Networks,C2_Practical_Applied,1,7
252,5,Genetic_Algorithms,C2_Practical_Applied,1,4
253,3,Neural_Networks,C2_Practical_Applied,1,3
254,3,Neural_Networks,C2_Practical_Applied,1,2
255,4,Case_Based,C1_Logic_Theory,0,4
256,3,Neural_Networks,C2_Practical_Applied,1,1
257,0,Theory,C1_Logic_Theory,0,4
258,4,Case_Based,C1_Logic_Theory,0,7
259,5,Genetic_Algorithms,C2_Practical_Applied,1,2
260,0,Theory,C1_Logic_Theory,0,1
261,3,Neural_Networks,C2_Practical_Applied,1,4
262,6,Probabilistic_Methods,C2_Practical_Applied,1,2
263,2,Rule_Learning,C1_Logic_Theory,0,3
264,5,Genetic_Algorithms,C2_Practical_Applied,1,4
265,5,Genetic_Algorithms,C2_Practical_Applied,1,1
266,5,Genetic_Algorithms,C2_Practical_Applied,1,4
267,3,Neural_Networks,C2_Practical_Applied,1,3
268,2,Rule_Learning,C1_Logic_Theory,0,2
269,3,Neural_Networks,C2_Practical_Applied,1,5
270,0,Theory,C1_Logic_Theory,0,5
271,4,Case_Based,C1_Logic_Theory,0,5
272,5,Genetic_Algorithms,C2_Practical_Applied,1,1
273,3,Neural_Networks,C2_Practical_Applied,1,2
274,0,Theory,C1_Logic_Theory,0,2
275,4,Case_Based,C1_Logic_Theory,0,2
276,0,Theory,C1_Logic_Theory,0,3
277,3,Neural_Networks,C2_Practical_Applied,1,5
278,3,Neural_Networks,C2_Practical_Applied,1,1
279,0,Theory,C1_Logic_Theory,0,12
280,0,Theory,C1_Logic_Theory,0,2
281,3,Neural_Networks,C2_Practical_Applied,1,8
282,5,Genetic_Algorithms,C2_Practical_Applied,1,2
283,4,Case_Based,C1_Logic_Theory,0,2
284,4,Case_Based,C1_Logic_Theory,0,7
285,3,Neural_Networks,C2_Practical_Applied,1,2
286,4,Case_Based,C1_Logic_Theory,0,3
287,3,Neural_Networks,C2_Practical_Applied,1,1
288,3,Neural_Networks,C2_Practical_Applied,1,1
289,2,Rule_Learning,C1_Logic_Theory,0,3
290,2,Rule_Learning,C1_Logic_Theory,0,5
291,3,Neural_Networks,C2_Practical_Applied,1,1
292,0,Theory,C1_Logic_Theory,0,1
293,3,Neural_Networks,C2_Practical_Applied,1,1
294,1,Reinforcement_Learning,C2_Practical_Applied,1,2
295,3,Neural_Networks,C2_Practical_Applied,1,2
296,2,Rule_Learning,C1_Logic_Theory,0,2
297,3,Neural_Networks,C2_Practical_Applied,1,5
298,3,Neural_Networks,C2_Practical_Applied,1,3
299,4,Case_Based,C1_Logic_Theory,0,5
300,5,Genetic_Algorithms,C2_Practical_Applied,1,3
301,2,Rule_Learning,C1_Logic_Theory,0,2
302,1,Reinforcement_Learning,C2_Practical_Applied,1,5
303,1,Reinforcement_Learning,C2_Practical_Applied,1,3
304,0,Theory,C1_Logic_Theory,0,4
305,0,Theory,C1_Logic_Theory,0,2
306,1,Reinforcement_Learning,C2_Practical_Applied,1,78
307,6,Probabilistic_Methods,C2_Practical_Applied,1,1
308,1,Reinforcement_Learning,C2_Practical_Applied,1,5
309,3,Neural_Networks,C2_Practical_Applied,1,3
310,3,Neural_Networks,C2_Practical_Applied,1,17
311,3,Neural_Networks,C2_Practical_Applied,1,4
312,2,Rule_Learning,C1_Logic_Theory,0,3
313,3,Neural_Networks,C2_Practical_Applied,1,1
314,3,Neural_Networks,C2_Practical_Applied,1,2
315,0,Theory,C1_Logic_Theory,0,5
316,3,Neural_Networks,C2_Practical_Applied,1,10
317,4,Case_Based,C1_Logic_Theory,0,2
318,1,Reinforcement_Learning,C2_Practical_Applied,1,4
319,3,Neural_Networks,C2_Practical_Applied,1,1
320,4,Case_Based,C1_Logic_Theory,0,2
321,3,Neural_Networks,C2_Practical_Applied,1,3
322,2,Rule_Learning,C1_Logic_Theory,0,1
323,0,Theory,C1_Logic_Theory,0,5
324,0,Theory,C1_Logic_Theory,0,3
325,4,Case_Based,C1_Logic_Theory,0,2
326,2,Rule_Learning,C1_Logic_Theory,0,3
327,3,Neural_Networks,C2_Practical_Applied,1,5
328,2,Rule_Learning,C1_Logic_Theory,0,3
329,1,Reinforcement_Learning,C2_Practical_Applied,1,3
330,4,Case_Based,C1_Logic_Theory,0,3
331,6,Probabilistic_Methods,C2_Practical_Applied,1,2
332,3,Neural_Networks,C2_Practical_Applied,1,5
333,2,Rule_Learning,C1_Logic_Theory,0,2
334,0,Theory,C1_Logic_Theory,0,3
335,3,Neural_Networks,C2_Practical_Applied,1,2
336,3,Neural_Networks,C2_Practical_Applied,1,2
337,2,Rule_Learning,C1_Logic_Theory,0,4
338,3,Neural_Networks,C2_Practical_Applied,1,3
339,4,Case_Based,C1_Logic_Theory,0,1
340,4,Case_Based,C1_Logic_Theory,0,2
341,2,Rule_Learning,C1_Logic_Theory,0,5
342,1,Reinforcement_Learning,C2_Practical_Applied,1,2
343,3,Neural_Networks,C2_Practical_Applied,1,2
344,5,Genetic_Algorithms,C2_Practical_Applied,1,5
345,3,Neural_Networks,C2_Practical_Applied,1,1
346,2,Rule_Learning,C1_Logic_Theory,0,2
347,0,Theory,C1_Logic_Theory,0,4
348,4,Case_Based,C1_Logic_Theory,0,4
349,5,Genetic_Algorithms,C2_Practical_Applied,1,3
350,1,Reinforcement_Learning,C2_Practical_Applied,1,14
351,3,Neural_Networks,C2_Practical_Applied,1,1
352,3,Neural_Networks,C2_Practical_Applied,1,3
353,2,Rule_Learning,C1_Logic_Theory,0,4
354,0,Theory,C1_Logic_Theory,0,3
355,2,Rule_Learning,C1_Logic_Theory,0,1
356,4,Case_Based,C1_Logic_Theory,0,5
357,2,Rule_Learning,C1_Logic_Theory,0,4
358,2,Rule_Learning,C1_Logic_Theory,0,1
359,2,Rule_Learning,C1_Logic_Theory,0,3
360,5,Genetic_Algorithms,C2_Practical_Applied,1,2
361,4,Case_Based,C1_Logic_Theory,0,1
362,4,Case_Based,C1_Logic_Theory,0,1
363,2,Rule_Learning,C1_Logic_Theory,0,1
364,2,Rule_Learning,C1_Logic_Theory,0,11
365,0,Theory,C1_Logic_Theory,0,2
366,3,Neural_Networks,C2_Practical_Applied,1,4
367,2,Rule_Learning,C1_Logic_Theory,0,2
368,4,Case_Based,C1_Logic_Theory,0,7
369,4,Case_Based,C1_Logic_Theory,0,2
370,5,Genetic_Algorithms,C2_Practical_Applied,1,5
371,5,Genetic_Algorithms,C2_Practical_Applied,1,7
372,1,Reinforcement_Learning,C2_Practical_Applied,1,4
373,0,Theory,C1_Logic_Theory,0,3
374,3,Neural_Networks,C2_Practical_Applied,1,7
375,4,Case_Based,C1_Logic_Theory,0,4
376,5,Genetic_Algorithms,C2_Practical_Applied,1,3
377,3,Neural_Networks,C2_Practical_Applied,1,4
378,4,Case_Based,C1_Logic_Theory,0,2
379,5,Genetic_Algorithms,C2_Practical_Applied,1,6
380,3,Neural_Networks,C2_Practical_Applied,1,3
381,4,Case_Based,C1_Logic_Theory,0,3
382,3,Neural_Networks,C2_Practical_Applied,1,3
383,3,Neural_Networks,C2_Practical_Applied,1,4
384,1,Reinforcement_Learning,C2_Practical_Applied,1,2
385,4,Case_Based,C1_Logic_Theory,0,3
386,3,Neural_Networks,C2_Practical_Applied,1,3
387,3,Neural_Networks,C2_Practical_Applied,1,3
388,5,Genetic_Algorithms,C2_Practical_Applied,1,3
389,2,Rule_Learning,C1_Logic_Theory,0,8
390,3,Neural_Networks,C2_Practical_Applied,1,1
391,2,Rule_Learning,C1_Logic_Theory,0,4
392,5,Genetic_Algorithms,C2_Practical_Applied,1,6
393,5,Genetic_Algorithms,C2_Practical_Applied,1,1
394,4,Case_Based,C1_Logic_Theory,0,5
395,3,Neural_Networks,C2_Practical_Applied,1,3
396,3,Neural_Networks,C2_Practical_Applied,1,2
397,3,Neural_Networks,C2_Practical_Applied,1,4
398,3,Neural_Networks,C2_Practical_Applied,1,2
399,1,Reinforcement_Learning,C2_Practical_Applied,1,5
400,5,Genetic_Algorithms,C2_Practical_Applied,1,1
401,3,Neural_Networks,C2_Practical_Applied,1,6
402,3,Neural_Networks,C2_Practical_Applied,1,7
403,2,Rule_Learning,C1_Logic_Theory,0,7
404,6,Probabilistic_Methods,C2_Practical_Applied,1,2
405,0,Theory,C1_Logic_Theory,0,4
406,1,Reinforcement_Learning,C2_Practical_Applied,1,4
407,3,Neural_Networks,C2_Practical_Applied,1,4
408,0,Theory,C1_Logic_Theory,0,6
409,1,Reinforcement_Learning,C2_Practical_Applied,1,4
410,5,Genetic_Algorithms,C2_Practical_Applied,1,2
411,3,Neural_Networks,C2_Practical_Applied,1,4
412,6,Probabilistic_Methods,C2_Practical_Applied,1,3
413,3,Neural_Networks,C2_Practical_Applied,1,1
414,6,Probabilistic_Methods,C2_Practical_Applied,1,1
415,0,Theory,C1_Logic_Theory,0,21
416,3,Neural_Networks,C2_Practical_Applied,1,2
417,3,Neural_Networks,C2_Practical_Applied,1,5
418,3,Neural_Networks,C2_Practical_Applied,1,1
419,5,Genetic_Algorithms,C2_Practical_Applied,1,1
420,4,Case_Based,C1_Logic_Theory,0,2
421,3,Neural_Networks,C2_Practical_Applied,1,2
422,4,Case_Based,C1_Logic_Theory,0,1
423,0,Theory,C1_Logic_Theory,0,5
424,5,Genetic_Algorithms,C2_Practical_Applied,1,2
425,2,Rule_Learning,C1_Logic_Theory,0,1
426,1,Reinforcement_Learning,C2_Practical_Applied,1,8
427,2,Rule_Learning,C1_Logic_Theory,0,2
428,4,Case_Based,C1_Logic_Theory,0,5
429,4,Case_Based,C1_Logic_Theory,0,16
430,4,Case_Based,C1_Logic_Theory,0,1
431,4,Case_Based,C1_Logic_Theory,0,2
432,3,Neural_Networks,C2_Practical_Applied,1,2
433,3,Neural_Networks,C2_Practical_Applied,1,2
434,0,Theory,C1_Logic_Theory,0,5
435,4,Case_Based,C1_Logic_Theory,0,3
436,3,Neural_Networks,C2_Practical_Applied,1,18
437,0,Theory,C1_Logic_Theory,0,5
438,5,Genetic_Algorithms,C2_Practical_Applied,1,6
439,2,Rule_Learning,C1_Logic_Theory,0,2
440,0,Theory,C1_Logic_Theory,0,6
441,5,Genetic_Algorithms,C2_Practical_Applied,1,11
442,4,Case_Based,C1_Logic_Theory,0,8
443,4,Case_Based,C1_Logic_Theory,0,4
444,4,Case_Based,C1_Logic_Theory,0,8
445,3,Neural_Networks,C2_Practical_Applied,1,2
446,0,Theory,C1_Logic_Theory,0,3
447,6,Probabilistic_Methods,C2_Practical_Applied,1,4
448,5,Genetic_Algorithms,C2_Practical_Applied,1,4
449,2,Rule_Learning,C1_Logic_Theory,0,4
450,4,Case_Based,C1_Logic_Theory,0,2
451,5,Genetic_Algorithms,C2_Practical_Applied,1,3
452,1,Reinforcement_Learning,C2_Practical_Applied,1,4
453,3,Neural_Networks,C2_Practical_Applied,1,3
454,5,Genetic_Algorithms,C2_Practical_Applied,1,11
455,3,Neural_Networks,C2_Practical_Applied,1,3
456,0,Theory,C1_Logic_Theory,0,10
457,3,Neural_Networks,C2_Practical_Applied,1,4
458,5,Genetic_Algorithms,C2_Practical_Applied,1,6
459,1,Reinforcement_Learning,C2_Practical_Applied,1,4
460,1,Reinforcement_Learning,C2_Practical_Applied,1,3
461,0,Theory,C1_Logic_Theory,0,2
462,3,Neural_Networks,C2_Practical_Applied,1,1
463,4,Case_Based,C1_Logic_Theory,0,4
464,2,Rule_Learning,C1_Logic_Theory,0,4
465,6,Probabilistic_Methods,C2_Practical_Applied,1,5
466,2,Rule_Learning,C1_Logic_Theory,0,5
467,0,Theory,C1_Logic_Theory,0,3
468,5,Genetic_Algorithms,C2_Practical_Applied,1,3
469,3,Neural_Networks,C2_Practical_Applied,1,3
470,4,Case_Based,C1_Logic_Theory,0,5
471,6,Probabilistic_Methods,C2_Practical_Applied,1,3
472,5,Genetic_Algorithms,C2_Practical_Applied,1,8
473,3,Neural_Networks,C2_Practical_Applied,1,4
474,5,Genetic_Algorithms,C2_Practical_Applied,1,1
475,0,Theory,C1_Logic_Theory,0,1
476,1,Reinforcement_Learning,C2_Practical_Applied,1,5
477,3,Neural_Networks,C2_Practical_Applied,1,3
478,0,Theory,C1_Logic_Theory,0,3
479,5,Genetic_Algorithms,C2_Practical_Applied,1,2
480,2,Rule_Learning,C1_Logic_Theory,0,6
481,2,Rule_Learning,C1_Logic_Theory,0,4
482,3,Neural_Networks,C2_Practical_Applied,1,9
483,5,Genetic_Algorithms,C2_Practical_Applied,1,4
484,1,Reinforcement_Learning,C2_Practical_Applied,1,7
485,0,Theory,C1_Logic_Theory,0,4
486,3,Neural_Networks,C2_Practical_Applied,1,4
487,1,Reinforcement_Learning,C2_Practical_Applied,1,12
488,4,Case_Based,C1_Logic_Theory,0,2
489,2,Rule_Learning,C1_Logic_Theory,0,3
490,5,Genetic_Algorithms,C2_Practical_Applied,1,9
491,6,Probabilistic_Methods,C2_Practical_Applied,1,1
492,4,Case_Based,C1_Logic_Theory,0,7
493,2,Rule_Learning,C1_Logic_Theory,0,3
494,2,Rule_Learning,C1_Logic_Theory,0,1
495,6,Probabilistic_Methods,C2_Practical_Applied,1,3
496,0,Theory,C1_Logic_Theory,0,3
497,0,Theory,C1_Logic_Theory,0,1
498,4,Case_Based,C1_Logic_Theory,0,6
499,6,Probabilistic_Methods,C2_Practical_Applied,1,2
500,3,Neural_Networks,C2_Practical_Applied,1,1
501,2,Rule_Learning,C1_Logic_Theory,0,2
502,0,Theory,C1_Logic_Theory,0,3
503,3,Neural_Networks,C2_Practical_Applied,1,3
504,6,Probabilistic_Methods,C2_Practical_Applied,1,3
505,1,Reinforcement_Learning,C2_Practical_Applied,1,11
506,6,Probabilistic_Methods,C2_Practical_Applied,1,4
507,3,Neural_Networks,C2_Practical_Applied,1,18
508,1,Reinforcement_Learning,C2_Practical_Applied,1,1
509,3,Neural_Networks,C2_Practical_Applied,1,3
510,3,Neural_Networks,C2_Practical_Applied,1,3
511,3,Neural_Networks,C2_Practical_Applied,1,2
512,3,Neural_Networks,C2_Practical_Applied,1,5
513,2,Rule_Learning,C1_Logic_Theory,0,3
